Aaron Roderick,BYU,GA,1999,2001
Aaron Roderick,Snow JC,RB,2002,2002
Aaron Roderick,Southern Utah,OC/QB/WR,2003,2004
Aaron Roderick,Utah,WR,2005,2009
Aaron Roderick,Utah,HC,2010,2010
Aaron Roderick,Utah,WR,2011,2011
Aaron Roderick,Utah,PGC/WR,2012,2014
Al Borges,Salinas (CA) HS,HC,1975,1978
Al Borges,Chico (CA) Pleasant Valley HS,HC,1979,1980
Al Borges,Salinas (CA) HS,HC,1981,1981
Al Borges,California,HC,1982,1982
Al Borges,Diablo Valley CC,TE/WR,1983,1984
Al Borges,Boise State,OC,1986,1992
Al Borges,Oregon,OC,1993,1994
Al Borges,UCLA,OC,1995,1995
Al Borges,California,OC,1996,2000
Al Borges,Indiana,OC,2001,2001
Al Borges,Auburn,OC,2002,2003
Al Borges,San Diego State,OC,2004,2007
Al Borges,Michigan,OC,2009,2010
Al Borges,San Jose State,OC/QB,2011,2013
Al Golden,Red Bank Catholic HS (NJ),OC,1993,1993
Al Golden,Virginia,GA,1994,1996
Al Golden,Boston College,LB,1997,1999
Al Golden,Penn State,LB,2000,2000
Al Golden,</small>Virginia,DC,2001,2005
Al Golden,Temple,HC,2006,2010
Al Golden,Miami,FL,2011,2015
Andy Ludwig,Portland State,WR,1987,1988
Andy Ludwig,Utah,GA,1992,1992
Andy Ludwig,Cal Poly,OC,1997,1997
Andy Ludwig,Fresno State,OC,1998,2001
Andy Ludwig,Oregon,OC,2002,2004
Andy Ludwig,Utah,OC,2005,2008
Andy Ludwig,California,OC/QB,2009,2010
Andy Ludwig,San Diego State,OC,2011,2012
Andy Ludwig,Wisconsin,OC/QB,2013,2014
Andy Ludwig,Vanderbilt,OC/QB,2015,2015
Art Briles,Sundown HS (TX),GA,1979,1979
Art Briles,Sweetwater HS (TX),GA,1980,1983
Art Briles,Hamlin HS,TX,1984,1985
Art Briles,Georgetown HS,TX,1986,1987
Art Briles,Stephenville HS,TX,1988,1999
Art Briles,Texas Tech,RB,2000,2002
Art Briles,Houston,HC,2003,2007
Art Briles,Baylor,HC,2008,2015
Art Kaufman,Delta State,GA,1982,1982
Art Kaufman,Northwestern State,OLB,1983,1986
Art Kaufman,Northwestern State,DC/LB,1987,1987
Art Kaufman,Ole Miss,OLB/DE,1988,1991
Art Kaufman,Louisiana Tech,DC/LB,1992,1994
Art Kaufman,Ole Miss,DC/LB,1995,2000
Art Kaufman,Arkansas Tech,DC/LB,2001,2002
Art Kaufman,East Carolina,LB,2003,2004
Art Kaufman,Middle Tennessee,LB,2005,2007
Art Kaufman,Southern Miss,DL/ST,2008,2008
Art Kaufman,North Carolina,LB,2009,2010
Art Kaufman,North Carolina,DC/LB,2011,2011
Art Kaufman,Texas Tech,DC,2012,2012
Art Kaufman,Cincinnati,DC,2013,2013
Art Kaufman,California,DC,2014,2015
Barney Cotton,St. Cloud State,OC/OL,1989,1994
Barney Cotton,Hastings,HC,1995,1996
Barney Cotton,New Mexico State,AHC/OL,1997,2002
Barney Cotton,Nebraska,OC/OL,2003,2003
Barney Cotton,Iowa State,OC/OL,2004,2006
Barney Cotton,Ames HS (IA),HC,2007,2007
Barney Cotton,Nebraska,AHC/OL,2008,2012
Barney Cotton,Nebraska,AHC/OL/TE/RGC,2013,2014
Barney Cotton,Nebraska,HC,2014,2014
Barney Cotton,UNLV,OC/TE,2015,2015
Ben McDaniels,Warren G. Harding HS,WR,2003,2003
Ben McDaniels,Minnesota,GA,2004,2005
Ben McDaniels,Canton McKinley HS,QB,2006,2007
Ben McDaniels,Jackson HS,QB,2008,2008
Ben McDaniels,Denver Broncos,GA,2009,2009
Ben McDaniels,Denver Broncos,QB,2010,2010
Ben McDaniels,Columbia,OC/QB,2012,2012
Ben McDaniels,Tampa Bay Buccaneers,OA,2013,2013
Ben McDaniels,Rutgers,WR,2014,2014
Bill Cubit,Swarthmore College,RB/WR,1975,1976
Bill Cubit,Sharon Hill HS,PA,1977,1982
Bill Cubit,UCF,DB,1983,1984
Bill Cubit,UCF,DB/AHC,1985,1985
Bill Cubit,Martin County HS,FL,1986,1988
Bill Cubit,Florida,QB,1989,1989
Bill Cubit,Akron,RB,1990,1991
Bill Cubit,Widener,HC,1992,1996
Bill Cubit,Western Michigan,OC,1997,1999
Bill Cubit,Missouri,OC/QB,2000,2000
Bill Cubit,Rutgers,OC/QB,2001,2002
Bill Cubit,Stanford,OC/QB,2003,2004
Bill Cubit,Western Michigan,HC,2005,2012
Bill Cubit,Illinois,OC/QB,2013,2015
Bill Snyder,Gallatin HS (MO),GA,1962,1962
Bill Snyder,Indio HS (CA),GA,1964,1965
Bill Snyder,USC,GA,1966,1966
Bill Snyder,Indio HS,CA,1967,1968
Bill Snyder,Santa Ana Foothill HS,CA,1969,1973
Bill Snyder,Austin,OC,1974,1975
Bill Snyder,North Texas,GA,1976,1978
Bill Snyder,Iowa,OC/QB,1979,1988
Bill Snyder,Kansas State,HC,1989,2005
Bill Snyder,Kansas State,HC,2009,2015
Bob Davie,Pittsburgh,GA,1977,1977
Bob Davie,Arizona,LB,1978,1979
Bob Davie,Pittsburgh,LB,1980,1982
Bob Davie,Tulane,DC,1983,1984
Bob Davie,Texas A&M,LB,1985,1988
Bob Davie,Texas A&M,DC,1989,1993
Bob Davie,Notre Dame,DC,1994,1996
Bob Davie,Notre Dame,HC,1997,2001
Bob Davie,New Mexico,HC,2012,2015
Bob DeBesse,Texas State,GA,1981,1982
Bob DeBesse,TCU,RB/QB,1983,1989
Bob DeBesse,TCU,OC,1990,1991
Bob DeBesse,Minnesota,OC,1992,1996
Bob DeBesse,Texas State,HC,1997,2002
Bob DeBesse,Purdue,WR,2003,2005
Bob DeBesse,Texas A&M,WR,2006,2007
Bob DeBesse,Consol HS,HC,2008,2009
Bob DeBesse,Sam Houston State,OC,2010,2011
