Aggie Memorial Stadium,New Mexico State,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Aggie_Memorial_Stadium.jpg/80px-Aggie_Memorial_Stadium.jpg,Las Cruces,NM,Sun Belt,1978,30343,32993,1999
Alamodome,UTSA,http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Alamodome%2C_San_Antonio.jpg/80px-Alamodome%2C_San_Antonio.jpg,San Antonio,TX,C-USA,1993,65000,56743,2011
Albertsons Stadium,Boise State,http://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Bronco_Stadium_-_Boise_ID.jpg/80px-Bronco_Stadium_-_Boise_ID.jpg,Boise,ID,Mountain West,1970,37000,36864,2012
Aloha Stadium,Hawai`i,http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Aloha_Stadium%2C_Hawaii.jpg/80px-Aloha_Stadium%2C_Hawaii.jpg,Honolulu,HI,Mountain West,1975,50000,50000,
Alumni Stadium,Boston College,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Alumni_Stadium_stands.jpg/80px-Alumni_Stadium_stands.jpg,Chestnut Hill,MA,ACC,1957,44500,44500,
Amon G. Carter Stadium,TCU,http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/TCU_Amon_G._Carter_Stadium.jpg/80px-TCU_Amon_G._Carter_Stadium.jpg,Fort Worth,TX,Big 12,1929,45000,50307,2009
Apogee Stadium,North Texas,http://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Apogee_Stadium_front.jpg/80px-Apogee_Stadium_front.jpg,Denton,TX,C-USA,2011,30850,28075,2011
Arizona Stadium,Arizona,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/University_of_Arizona_Stadium.jpg/80px-University_of_Arizona_Stadium.jpg,Tucson,AZ,Pac-12,1928,51811,59920,1996
Autzen Stadium,Oregon,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Autzen_Stadium_201004.jpg/80px-Autzen_Stadium_201004.jpg,Eugene,OR,Pac-12,1967,54000,60055,2011
BB&T Field,Wake Forest,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/BBT_Field_Deacon_Tower_Wake_Forest_University_football_stadium.jpg/80px-BBT_Field_Deacon_Tower_Wake_Forest_University_football_stadium.jpg,Winston-Salem,NC,ACC,1968,31500,37623,2004
Beaver Stadium,Penn State,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Beaver_Stadium_inside.jpg/80px-Beaver_Stadium_inside.jpg,University Park,PA,Big Ten,1960,106572,110753,2002
Ben Hill Griffin Stadium,Florida,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Ben_Hill_Griffin_Stadium_exterior.jpg/80px-Ben_Hill_Griffin_Stadium_exterior.jpg,Gainesville,FL,SEC,1930,88548,90907,2009
Bill Snyder Family Football Stadium,Kansas State,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Bill_Snyder_Family_Stadium_WSC.jpg/80px-Bill_Snyder_Family_Stadium_WSC.jpg,Manhattan,KS,Big 12,1968,50000,53811,2000
Bobby Bowden Field at Doak Campbell Stadium,Florida State,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Doak_Campbell416.jpg/80px-Doak_Campbell416.jpg,Tallahassee,FL,ACC,1950,82300,84409,2013
Bobby Dodd Stadium at Historic Grant Field,Georgia Tech,http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/BobbyDoddStadiumGTMiami2008.jpg/80px-BobbyDoddStadiumGTMiami2008.jpg,Atlanta,GA,ACC,1913,55000,60316,
