Air Force,Falcons,Colorado Springs,Colorado,Mountain West,1955,
Akron,Zips,Akron,Ohio,MAC,1891,1987
Alabama,Crimson Tide,Tuscaloosa,Alabama,SEC,1892,
Appalachian State,Mountaineers,Boone,North Carolina,Sun Belt,1928,2014
Arizona,Wildcats,Tucson,Arizona,Pac-12,1899,
Arizona State,Sun Devils,Tempe,Arizona,Pac-12,1896,
Arkansas,Razorbacks,Fayetteville,Arkansas,SEC,1894,
Arkansas State,Red Wolves,Jonesboro,Arkansas,Sun Belt,1911,1992
Army,Black Knights,West Point,New York,Independent,1890,
Auburn,Tigers,Auburn,Alabama,SEC,1891,
Ball State,Cardinals,Muncie,Indiana,MAC,1924,
Baylor,Bears,Waco,Texas,Big 12,1899,
Boise State,Broncos,Boise,Idaho,Mountain West,1933,1996
Boston College,Eagles,Chestnut Hill,Massachusetts,ACC,1893,
Bowling Green,Falcons,Bowling Green,Ohio,MAC,1919,
Buffalo,Bulls,Buffalo,New York,MAC,1894,1999
BYU,Cougars,Provo,Utah,Independent,1921,
California,Golden Bears,Berkeley,California,Pac-12,1882,
Fresno State,Bulldogs,Fresno,California,Mountain West,1921,
UCLA,Bruins,Los Angeles,California,Pac-12,1919,
UCF,Knights,Orlando,Florida,American,1979,1996
Central Michigan,Chippewas,Mount Pleasant,Michigan,MAC,1896,
Cincinnati,Bearcats,Cincinnati,Ohio,American,1885,
Clemson,Tigers,Clemson,South Carolina,ACC,1896,
Colorado,Buffaloes,Boulder,Colorado,Pac-12,1890,
Colorado State,Rams,Fort Collins,Colorado,Mountain West,1890,
Connecticut,Huskies,"[u'Storrs', u'[2]']",Connecticut,American,1896,2000
Duke,Blue Devils,Durham,North Carolina,ACC,1888,
Eastern Michigan,Eagles,Ypsilanti,Michigan,MAC,1891,
East Carolina,Pirates,Greenville,North Carolina,American,1932,
Florida,Gators,Gainesville,Florida,SEC,1906,
Florida Atlantic,Owls,Boca Raton,Florida,C-USA,2001,2006
FIU,Panthers,Miami,Florida,C-USA,2002,2006
Florida State,Seminoles,Tallahassee,Florida,ACC,1947,
Georgia,Bulldogs,Athens,Georgia,SEC,1891,
Georgia Southern,Eagles,Statesboro,Georgia,Sun Belt,1924,2014
Georgia State,Panthers,Atlanta,Georgia,Sun Belt,2010,2013
Georgia Tech,Yellow Jackets,Atlanta,Georgia,ACC,1892,
Hawai'i,Rainbow Warriors,Honolulu,Hawai'i,Mountain West,1909,
Houston,Cougars,Houston,Texas,American,1946,
Idaho,Vandals,Moscow,Idaho,Sun Belt,1893,1996
Illinois,Fighting Illini,"[u'Urbana', u'Champaign']",Illinois,Big Ten,1890,
Indiana,Hoosiers,Bloomington,Indiana,Big Ten,1887,
Iowa,Hawkeyes,Iowa City,Iowa,Big Ten,1889,
Iowa State,Cyclones,Ames,Iowa,Big 12,1892,
Kansas,Jayhawks,Lawrence,Kansas,Big 12,1890,
Kansas State,Wildcats,Manhattan,Kansas,Big 12,1896,
Kent State,Golden Flashes,Kent,Ohio,MAC,1920,
